CompanyId,CompanyName,FilingDate,RestatementType1,RestatementType2,RestatementType3,SectorName,SectorId
316793,"International Rectifier Corp.","8/1/2008","RR","OTH","OTH","Technology",9
354647,"CVB Financial Corp.","2/29/2008","ER"," RR","","Financial",6
356080,"BELO CORP","8/10/2009","OTH","OTH","","Services",8
356708,"First Regional Bancorp","3/17/2008","OTH","","","Financial",6
357108,"Irvine Sensors Corp.","1/15/2008","ER","","","Capital Goods",2
700815,"Adino Energy Corp.","5/15/2008","OTH"," ER","OTH","Energy",5
700815,"Adino Energy Corp.","4/15/2008","OTH","","","Energy",5
705868,"Benda Pharmaceutical Inc","6/26/2008","ER","","","Healthcare",7
706864,"Merrimac Industries Inc","3/28/2008","OTH","OTH","","Technology",9
707549,"Lam Research Corporation","3/31/2008","ER","","","Technology",9
707674,"FACT Corp.","2/13/2008","OTH","OTH","","Consumer Non-Cyclical",4
712537,"FIRST COMMONWEALTH FINANCIAL CORP","8/7/2009","OTH","","","Financial",6
713002,"Flow International Corp.","7/14/2008","OTH"," ER","OTH","Capital Goods",2
713676,"PNC Financial Services Group Inc.","2/4/2008","OTH","","","Financial",6
716054,"Cypress Bioscience Inc.","3/17/2008","OTH","","","Healthcare",7
718937,"Staar Surgical Co.","2/7/2008","OTH","","","Healthcare",7
719164,"Schawk Inc.","8/18/2008","OTH","","","Services",8
719164,"Schawk Inc.","4/28/2008","ER"," RR","OTH","Services",8
719739,"SVB FINANCIAL GROUP","8/7/2009","OTH","","","Financial",6
720671,"Halifax Corporation of Virginia","7/16/2008","OTH","OTH","","Technology",9
721693,"China Recyling Energy Corp.","3/6/2008","OTH","","","Technology",9
721693,"China Recyling Energy Corp.","4/15/2008","OTH","","","Technology",9
722256,"Hudson Valley
Holding Corp.","3/14/2008","OTH","","","Financial",6
733269,"Acxiom Corp.","5/30/2008","RR","OTH","","Technology",9
735993,"Bakbone Software Inc.","8/6/2008","ER"," RR","OTH","Technology",9
737602,"Cuisine Solutions, Inc.","9/17/2008","OTH","","","Consumer Non-Cyclical",4
743316,"Maxim Integrated Products Inc.","9/30/2008","ER","OTH","OTH","Technology",9
745651,"Advanced Battery Technologies Inc.","3/28/2008","OTH","","","Consumer Cyclical",3
745651,"Advanced Battery Technologies Inc.","9/2/2008","OTH","","","Consumer Cyclical",3
748592,"NTN COMMUNICATIONS INC","8/11/2008","OTH","","","Services",8
755003,"Material Sciences Corp.","5/29/2008","OTH","","","Basic Materials",1
760326,"Outdoor Channel Holdings Inc.","2/1/2008","ER"," RR","OTH","Services",8
766701,"CAPSTEAD MORTGAGE CORP","1/12/2009","OTH","","","Services",8
769520,"Middleby Corp.","8/6/2008","OTH","","","Capital Goods",2
771266,"Kopin Corp.","3/17/2008","ER","OTH","OTH","Technology",9
773588,"Kings Road Entertainment Inc.","7/14/2008","OTH","OTH","","Services",8
775351,"Quest Resource Corp.","1/17/2008","OTH","","","Energy",5
788206,"EMPIRE ENERGY CORP","8/19/2008","OTH","","","Energy",5
789606,"Aztec Oil & Gas Inc.","1/3/2008","RR"," ER","","Energy",5
789868,"AMERICAN DAIRY INC","3/31/2009","RR"," ER","OTH","Consumer Non-Cyclical",4
795255,"CNE Group Inc","6/26/2008","OTH","","","Services",8
798288,"Centro NP LLC","4/18/2008","OTH","","","Services",8
798528,"Odyssey Marine Exploration Inc.","8/11/2008","OTH","","","Services",8
806592,"Sunwin Internationa Neutraceuticals, Inc.","9/15/2008","OTH","","","Healthcare",7
808461,"General Communication Inc.","6/11/2008","ER"," RR","","Services",8
811271,"Worldwater & Solar Technologies Corp.","3/5/2008","OTH"," ER","","Capital Goods",2
811419,"Ameralia Inc.","6/6/2008","OTH","OTH"," ER","Basic Materials",1
812482,"Archon Corp.","1/24/2008","OTH","","","Services",8
814055,"Youbet com Inc.","7/31/2008","OTH"," ER","","Services",8
814904,"Golden River Resources Corp.","10/15/2008","OTH","","","Services",8
815353,"Emerald Dairy Inc","4/15/2008","OTH","","","Consumer Non-Cyclical",4
816761,"Teradata Corporation","3/3/2008","RR","","","Technology",9
820736,"Orbital Sciences Corporation","8/5/2008","OTH","","","Capital Goods",2
821356,"Cistera Networks, Inc.","9/30/2008","OTH"," ER","OTH","Technology",9
821483,"Delta Petroleum Corp.","8/7/2008","RR"," ER","","Energy",5
821524,"China Digital Media Corp.","4/16/2008","ER","","","Services",8
821995,"Columbia Laboratories, Inc.","3/28/2008","ER","OTH","","Healthcare",7
827156,"Zila Inc.","10/6/2008","OTH","","","Healthcare",7
828878,"Red Horse Entertainment Corp","8/26/2008","OTH","","","Services",8
832101,"IDEX Corp.","2/29/2008","OTH","","","Capital Goods",2
834071,"Toyota Motor Credit Corp.","7/30/2008","OTH","OTH","","Consumer Cyclical",3
834071,"Toyota Motor Credit Corp.","7/21/2008","OTH","OTH","","Consumer Cyclical",3
835011,"MGP Ingredients, Inc.","5/12/2008","RR","","","Consumer Non-Cyclical",4
837852,"CHINA BROADBAND INC","8/19/2008","RR","OTH","","Technology",9
840467,"Beckman Coulter Inc.","2/29/2008","OTH","","","Technology",9
849667,"American Italian Pasta Co.","6/16/2008","RR","OTH","OTH","Consumer Non-Cyclical",4
849997,"FEC Resources Inc.","2/21/2008","OTH","","","Energy",5
851249,"Fortune Industries Inc","7/11/2008","OTH","OTH","OTH","Services",8
852772,"Dennys Corp","5/5/2008","OTH","","","Services",8
853273,"Borland Software Corp.","8/14/2008","ER","","","Technology",9
855906,"Silicon Storage Technology Inc.","1/16/2008","ER","","","Technology",9
857728,"I-Flow Corp","10/22/2008","OTH","","","Healthcare",7
858452,"Transcend Services Inc.","5/19/2008","OTH","","","Healthcare",7
858452,"Transcend Services, Inc.","4/15/2008","OTH","","","Healthcare",7
859368,"Medicis Pharmaceutical Corp.","11/10/2008","OTH","","","Healthcare",7
861058,"Ingen Technologies, Inc","9/29/2008","OTH","OTH","OTH","Healthcare",7
863061,"Odyssey Pictures Corp.","6/12/2008","OTH","","","Services",8
865754,"Sauer Danfoss Inc.","3/11/2008","OTH","","","Capital Goods",2
866729,"Scholastic Corp.","7/30/2008","OTH","","","Services",8
867773,"Sunpower Corp.","8/8/2008","ER","","","Technology",9
868725,"Rentech Inc.","12/14/2009","OTH"," ER","","Basic Materials",1
868857,"Aecom Technology Corp.","5/9/2008","OTH","","","Services",8
876378,"Safestitch Medical Inc.","4/24/2008","OTH","OTH","","Healthcare",7
877357,"Sepracor Inc.","2/29/2008","RR","","","Healthcare",7
878088,"Par Pharmaceutical Companies, Inc.","2/29/2008","OTH","OTH","","Healthcare",7
879519,"Franklin Lake Resources Inc.","4/14/2008","OTH"," ER","","Basic Materials",1
880446,"Vitesse Semiconductor Corp","9/30/2008","OTH","","","Technology",9
880460,"E Com Ventures Inc.","6/6/2008","ER","","","Services",8
880804,"Premiere Global Services Inc.","10/14/2008","OTH","","","Services",8
882537,"CREATOR CAPITAL LTD","8/15/2008","OTH","","","Technology",9
884380,"SEAWAY VALLEY CAPITAL CORP","8/13/2008","OTH","","","Financial",6
884892,"Terra Nova Financial Group Inc.","4/8/2008","ER","","","Financial",6
886035,"General Cable Corporation","5/7/2008","OTH","","","Technology",9
890465,"NPS Pharmaceuticals Inc.","5/19/2008","ER","","","Healthcare",7
891103,"IAC Interactive","2/29/2008","RR","","","Services",8
895930,"AMSURG CORP","8/10/2009","OTH","OTH","","Healthcare",7
896264,"USANA Health Sciences Inc.","3/6/2009","OTH","","","Consumer Non-Cyclical",4
896726,"Geoglobal Resources Inc.","6/9/2008","ER","","","Energy",5
896747,"American Bio Medica Corp","3/28/2008","OTH","","","Technology",9
897448,"Amarin Corp. Plc","9/24/2008","OTH","","","Healthcare",7
898174,"REINSURANCE GROUP OF AMERICA","3/2/2009","OTH","","","Financial",6
902272,"Aldila Inc.","3/28/2008","OTH","","","Consumer Cyclical",3
907687,"Actel Corp.","1/22/2008","ER","","","Technology",9
909326,"Asyst Technologies Inc.","2/1/2008","OTH","","","Technology",9
910406,"Hain Celestial Group Inc.","1/31/2008","ER","OTH","","Consumer Non-Cyclical",4
910569,"Canadian Zinc Corp.","4/11/2008","OTH","","","Basic Materials",1
911441,"Environmental Service Professionals Inc.","5/21/2008","OTH","","","Services",8
912242,"Macerich Co.","6/3/2008","OTH","OTH","OTH","Services",8
912365,"Evergreen Energy Inc","3/24/2008","OTH","OTH","","Energy",5
912500,"Crystallex International Corp.","4/1/2008","OTH","OTH","","Basic Materials",1
912833,"West Marine Inc.","4/4/2008","OTH","OTH","OTH","Services",8
913665,"TerreStar Corporation","3/31/2008","OTH"," ER","","Services",8
915840,"Beazer Homes USA Inc.","5/12/2008","OTH"," ER"," RR","Capital Goods",2
916085,"Health Net Inc.","2/28/2008","OTH","","","Financial",6
916085,"Health Net Inc.","2/27/2009","OTH","","","Financial",6
916235,"Sonic Solutions","2/26/2008","ER","OTH","","Technology",9
916444,"Paradigm Medical Industries, Inc.","5/19/2008","OTH","","","Healthcare",7
919583,"Strasbaugh","7/30/2008","OTH"," ER","","Technology",9
920321,"Cenveo  Inc","3/28/2008","OTH","OTH","OTH","Services",8
920527,"PSS World Medical Inc.","8/6/2008","OTH","","","Healthcare",7
923168,"IWI Holding Ltd.","1/9/2008","OTH","","","Consumer Cyclical",3
924805,"BMB Munai Inc.","6/16/2008","OTH","","","Energy",5
924805,"BMB Munai Inc.","1/10/2008","OTH","","","Energy",5
928366,"Sims Metal Management Limited","12/10/2008","OTH","","","Services",8
928375,"Dutch Gold Resources Inc.","2/26/2008","OTH","","","Financial",6
929351,"Lions Gate Entertainment Corp.","5/30/2008","OTH","","","Services",8
929940,"Aspen Technology Inc.","4/11/2008","OTH"," RR","OTH","Technology",9
929940,"Aspen Technology Inc.","2/19/2009","OTH","OTH","","Technology",9
930184,"Valeant Pharmaceuticals International","3/17/2008","RR","OTH"," ER","Healthcare",7
930245,"All-American Sportpark Inc.","4/14/2008","OTH","","","Services",8
932372,"Orange 21 Inc.","4/8/2008","OTH","OTH","OTH","Consumer Cyclical",3
932695,"China Yuchai International Ltd","5/30/2008","ER","OTH","OTH","Capital Goods",2
932696,"Insight Enterprises Inc.","5/12/2009","OTH"," ER","","Financial",6
934448,"DG FastChannel Inc.","3/17/2008","OTH","","","Services",8
934648,"Speedway Motorsports Inc","3/14/2008","OTH","","","Services",8
934796,"Network CN Inc","10/22/2008","OTH","","","Services",8
935036,"Aci Worldwide Inc","3/4/2008","RR"," ER","","Technology",9
936801,"Pacific Harbour Capital Ltd.","10/15/2008","OTH","","","Services",8
937966,"ASML HOLDINGS","1/26/2009","OTH","","","Technology",9
941020,"GeneLink, Inc.","6/3/2008","OTH"," ER","","Healthcare",7
945989,"Astea International Inc.","4/15/2008","RR","","","Technology",9
946673,"Banner Corp.","3/14/2008","OTH","","","Financial",6
946673,"Banner Corp.","5/9/2008","ER","","","Financial",6
1001907,"Spacehab Inc.","2/28/2008","OTH","","","Capital Goods",2
1004125,"KSW Inc","3/7/2008","ER","","","Capital Goods",2
1004608,"Pinnacle Data Systems, Inc.","3/31/2008","OTH","","","Technology",9
1004673,"Elixir Gaming Technologies, Inc.","3/31/2008","OTH","OTH"," ER","Services",8
1005010,"Arthrocare Corp.","11/18/2009","OTH"," RR"," ER","Healthcare",7
1005302,"Cytogenix Inc.","4/7/2008","ER","","","Healthcare",7
1006837,"PRIMUS TELECOMMUNICATIONS GROUP INC","8/11/2008","OTH","","","Services",8
1009891,"Health & Nutrition Systems International Inc.","5/19/2008","ER","","","Capital Goods",2
